Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,UK_pct,UK_CDF,AUS_pct,AUS_CDF
4619,1.2489,0.8362,1.3719,0.7365,3.1263,1.2183,6.55,7.818,64.1,1130.68,17.6865,13.16,1.3453,6.2223,110.84,4.188,7.8427,7.9589,152.85,0.9594,30.06,33.07,-1.3263665594855145,26.254722681789886,-0.3351687814220905,-4.061272658893699
4620,1.2553,0.8377,1.3772,0.7416,3.1288,1.2231,6.5725,7.8164,64.15,1127.07,17.758,13.2875,1.3481,6.2329,111.48,4.187,7.8294,7.9673,152.95,0.963,30.14,33.1,0.6924643584521384,26.947187040242024,0.5124509568420255,-3.548821702051674
4621,1.2478,0.8347,1.3656,0.7398,3.132,1.2262,6.58,7.8046,64.3,1128.83,17.7675,13.3325,1.347,6.2112,111.49,4.19,7.8067,7.9585,153.1,0.9628,30.12,33.06,-0.24271844660194164,26.704468593640083,-0.5974667410180934,-4.146288443069768
4622,1.2392,0.8335,1.3535,0.7372,3.1198,1.2267,6.57,7.7995,64.29,1125.53,17.6895,13.2325,1.3437,6.2026,111.5,4.186,7.8066,7.9472,152.6,0.9617,30.08,33.05,-0.3514463368478049,26.35302225679228,-0.6892130149062314,-4.835501457975999
4623,1.2594,0.8371,1.3665,0.7366,3.1358,1.2328,6.5861,7.8062,64.8,1130.87,17.825,13.2575,1.3493,6.2277,112.3,4.196,7.8006,7.9705,152.7,0.9692,30.19,33.1,-0.08138903960932531,26.271633217182952,1.6300839251129684,-3.2054175328630308
4624,1.2539,0.8355,1.3618,0.739,3.1257,1.2305,6.5899,7.8082,64.79,1130.39,17.7355,13.19,1.3435,6.2158,112.01,4.196,7.7833,7.9536,152.7,0.9694,30.16,33.06,0.32582134129783835,26.59745455848079,-0.4367158964586393,-3.64213342932167
4625,1.2599,0.8437,1.3761,0.7431,3.1496,1.2347,6.6189,7.8135,65.12,1134.59,17.905,13.35,1.3513,6.2783,111.64,4.202,7.8325,8.0486,152.95,0.9682,30.25,33.1,0.5548037889039126,27.152258347384702,0.4785070579791162,-3.163626371342554
4626,1.269,0.8495,1.3908,0.745,3.1703,1.2379,6.6371,7.8128,65.46,1136.29,18.007,13.3875,1.3559,6.3208,112.16,4.205,7.9091,8.1471,152.95,0.9706,30.23,33.21,0.25568564123268356,27.407943988617387,0.7222795459957077,-2.441346825346846
4627,1.2713,0.8513,1.3854,0.7462,3.1915,1.2402,6.64,7.809,65.71,1141.62,18.101,13.5375,1.3588,6.3339,112.76,4.22,7.9495,8.1508,153.05,0.9745,30.31,33.29,0.16107382550334393,27.56901781412073,0.18124507486210195,-2.2601017504847443
4628,1.277,0.8492,1.3864,0.7443,3.1865,1.2473,6.6591,7.8093,65.46,1145.08,18.237,13.5275,1.3587,6.3189,112.66,4.23,7.953,8.1411,153.05,0.971,30.37,33.4,-0.25462342535513827,27.314394388765592,0.44835994651142297,-1.8117418039733213
4629,1.2755,0.8465,1.3841,0.7462,3.164,1.2509,6.6533,7.811,65.3,1142.57,18.148,13.51,1.3573,6.2991,112.64,4.219,7.9629,8.1538,153.05,0.9688,30.33,33.3,0.255273411258905,27.569667800024497,-0.11746280344556714,-1.9292046074188884
4630,1.278,0.8514,1.3887,0.7537,3.1585,1.2507,6.6533,7.8098,65.28,1146.18,18.211,13.59,1.361,6.3368,112.6,4.232,7.999,8.1595,153.05,0.9737,30.38,33.4,1.0050924685071072,28.574760268531605,0.1960015680125382,-1.7332030394063502
4631,1.2775,0.8504,1.3976,0.7547,3.1428,1.2498,6.6533,7.8106,65.48,1140.5,18.211,13.66,1.3614,6.3293,112.8,4.2375,7.9695,8.1252,153.2,0.9734,30.44,33.39,0.1326787846623434,28.707439053193948,-0.03912363067292146,-1.7723266700792717
